;;Rótulos de Linha;Soma de Valor
;;BRAP4;0,91971644
;;ELET3;0,89530084
;;BRAP3;0,83610586
;;PETR3;0,70954522
;;PETR4;0,70954522
;;MDNE3;0,6
;;BBDC4;0,39859703
;;VULC3;0,375
;;BBDC3;0,36236096
;;CXSE3;0,32
;;HYPE3;0,2925
;;MDIA3;0,27
;;GRND3;0,25556369
;;BEES3;0,21366648
;;BEES4;0,21366648
;;ALOS3;0,20304288
;;CMIG3;0,18911784
;;CMIG4;0,18911784
;;LREN3;0,187752
;;RDOR3;0,18101256
;;ITUB3;0,15885
;;ITUB4;0,15885
;;ELET6;0,1110415
;;PNVL3;0,08724912
;;MTRE3;0,07563236
;;ITSA4;0,0705885
;;B3SA3;0,0625774
;;GMAT3;0,06012712
;;TFCO4;0,05457731
;;CSMG3;0,0354592
;;;
;;;
;;;
